"Runtime","Genre","Rating","Year"
89,"Drama",8.1,1960
114,"Drama",7.7,2002
79,"Comedy",7.7,1983
160,"Action",8.1,2014
45,"Action",8.2,1924
104,"Drama",7.6,NA
97,"Drama",7.6,1944
113,"Drama",8.1,1937
87,"Action",8,1997
156,"Action",8.2,2000
159,"Action",8,NA
114,"Crime",7.9,2000
111,"Action",7.8,1989
138,"Comedy",7.9,2007
115,"Action",8,2010
103,"Animation",7.7,2000
110,"Comedy",8,1939
122,"Drama",8.2,2005
134,"Drama",8.2,2010
104,"Action",8.1,2008
160,"Action",8.2,1994
144,"Crime",8,2013
135,"Action",8.2,2012
140,"Action",8.1,2004
144,"Drama",8,2009
129,"Comedy",7.9,2005
122,"Drama",7.8,2007
148,"Action",7.8,2016
125,"Comedy",8.1,2012
80,"Comedy",7.7,1998
153,"Drama",8.2,2007
130,"Drama",7.7,2013
134,"Comedy",7.8,2012
204,"Action",8.2,1975
160,"Crime",8.3,2013
126,"Comedy",7.8,2012
96,"Comedy",7.9,1935
130,"Drama",8,2016
144,"Comedy",8.1,2006
128,"Action",8,2009
110,"Comedy",8,2001
